open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore
2026-01-29 03:15:00,88081.77,88200.0,88000.0,88048.39,178.34288,2026-01-29 03:29:59.999,15714083.21542380,46278,99.50424000,8766366.62702460,0
2026-01-29 03:30:00,88048.39,88132.43,87960.35,88128.34,127.88441,2026-01-29 03:44:59.999,11260986.31337150,31488,83.62418000,7364074.14076510,0
2026-01-29 03:45:00,88128.33,88169.54,87987.2,88053.71,109.96181,2026-01-29 03:59:59.999,9682066.04678000,24421,58.87125000,5183368.30451820,0
2026-01-29 04:00:00,88053.71,88089.22,87964.4,87980.02,79.07718,2026-01-29 04:14:59.999,6961375.32888510,23144,46.67826000,4109106.44276830,0
2026-01-29 04:15:00,87980.02,88070.47,87901.23,88070.47,97.95234,2026-01-29 04:29:59.999,8617293.07534080,26096,60.04381000,5282132.29057720,0
2026-01-29 04:30:00,88070.47,88235.29,88070.47,88165.24,50.73898,2026-01-29 04:44:59.999,4474303.17587140,21772,33.56825000,2960016.63292950,0
2026-01-29 04:45:00,88165.24,88345.66,88165.23,88315.2,83.5753,2026-01-29 04:59:59.999,7376678.19610300,15821,51.10470000,4510677.24780900,0
2026-01-29 05:00:00,88315.2,88408.08,88273.53,88311.47,67.29196,2026-01-29 05:14:59.999,5943611.57483820,20636,33.87578000,2992104.29591620,0
2026-01-29 05:15:00,88311.46,88350.0,88192.08,88206.12,45.74254,2026-01-29 05:29:59.999,4037144.43491400,17397,13.67409000,1206726.21986250,0
2026-01-29 05:30:00,88206.13,88364.64,88206.12,88307.86,177.07634,2026-01-29 05:44:59.999,15638354.97883750,23818,101.35448000,8949888.66892530,0
2026-01-29 05:45:00,88307.86,88311.39,88142.66,88186.54,64.20271,2026-01-29 05:59:59.999,5663701.22545430,15551,34.93893000,3081551.64996930,0
2026-01-29 06:00:00,88186.53,88311.38,88168.9,88249.38,100.15296,2026-01-29 06:14:59.999,8838449.76483270,17119,44.47550000,3924735.30887590,0
2026-01-29 06:15:00,88249.38,88302.0,88193.65,88279.99,82.15334,2026-01-29 06:29:59.999,7249726.83198710,20826,39.20854000,3460150.94187010,0
2026-01-29 06:30:00,88279.99,88338.67,88262.32,88328.48,57.91439,2026-01-29 06:44:59.999,5114474.01144770,16363,34.00501000,3003001.29225020,0
2026-01-29 06:45:00,88328.48,88334.5,88255.01,88319.35,44.29693,2026-01-29 06:59:59.999,3911532.93495840,17471,21.30086000,1880894.06837980,0
2026-01-29 07:00:00,88319.35,88390.23,88306.08,88329.73,72.02681,2026-01-29 07:14:59.999,6363424.91833210,17764,23.72873000,2096367.18087070,0
2026-01-29 07:15:00,88329.74,88344.14,88250.0,88265.89,97.17806,2026-01-29 07:29:59.999,8581132.57880140,19958,28.67119000,2531768.59567280,0
2026-01-29 07:30:00,88265.9,88366.0,88250.0,88338.11,122.02058,2026-01-29 07:44:59.999,10773099.64210510,23471,64.64451000,5707435.51687200,0
2026-01-29 07:45:00,88338.1,88430.05,88286.26,88352.97,235.51069,2026-01-29 07:59:59.999,20808184.54609590,22733,138.12696000,12204242.93621270,0
2026-01-29 08:00:00,88352.96,88352.97,87950.0,87950.01,265.25693,2026-01-29 08:14:59.999,23374589.26004980,31700,91.25513000,8045137.43819330,0
2026-01-29 08:15:00,87950.01,88469.6,87907.8,88452.4,182.22605,2026-01-29 08:29:59.999,16061549.50954460,36220,114.57765000,10099324.67208800,0
